a (a) (Article)
career (career,careers,careered,careering) (Verb)
career (career,careers,career's,careers') (Noun)
careful (careful,carefuller,carefullest) (Adjective)
careless (careless) (Adjective)
carpet (carpet,carpets,carpeted,carpeting) (Verb)
carpet (carpet,carpets,carpet's,carpets') (Noun)
carriage (carriage,carriages,carriage's,carriages') (Noun)
carrot (carrot,carrots,carrot's,carrots') (Noun)
carry (carry,carries,carried,carrying) (Verb)
carry (carry,carries,carry's,carries') (Noun)
cart (cart,carts,carted,carting) (Verb)
cart (cart,carts,cart's,carts') (Noun)
Carter (Carter,Carter's) (Noun)
carve (carve,carves,carved,carving) (Verb)
case (case,cases,cased,casing) (Verb)
case (case,cases,case's,cases') (Noun)
cast (cast,casts,casting) (Verb)
cast (cast) (Adjective)
cast (cast,casts,cast's,casts') (Noun)
castle (castle,castles,castled,castling) (Verb)
castle (castle,castles,castle's,castles') (Noun)
casual (casual) (Adjective)
casual (casual,casuals,casual's,casuals') (Noun)
cat (cat,cats,cat's,cats') (Noun)
catch (catch,catches,caught,catching) (Verb)
catch (catch,catches,catch's,catches') (Noun)
cauldron (cauldron,cauldrons,cauldron's,cauldrons') (Noun)
cause (cause,causes,caused,causing) (Verb)
cause (cause,causes,cause's,causes') (Noun)
caution (caution,cautions,cautioned,cautioning) (Verb)
caution (caution,cautions,caution's,cautions') (Noun)
cautious (cautious) (Adjective)
cave (cave,caves,caved,caving) (Verb)
cave (cave,caves,cave's,caves') (Noun)
cavern (cavern,caverns,cavern's,caverns') (Noun)
cease (cease,ceases,ceased,ceasing) (Verb)
cease (cease,ceases,cease's,ceases') (Noun)
cell (cell,cells,cell's,cells') (Noun)
cellar (cellar,cellars,cellar's,cellars') (Noun)
center (center,centers,centered,centering) (Verb)
center (center) (Adjective)
center (center,centers,center's,centers') (Noun)
central (central) (Adjective)
centre (centre,centres,centred,centring) (Verb)
centre (centre) (Adjective)
centre (centre,centres,centre's,centres') (Noun)
century (century,centuries,century's,centuries') (Noun)
ceremony (ceremony,ceremonies,ceremony's,ceremonies') (Noun)
certain (certain) (Pronoun)
certain (certain) (Adjective)
chain (chain,chains,chained,chaining) (Verb)
chain (chain,chains,chain's,chains') (Noun)
chair (chair,chairs,chaired,chairing) (Verb)
chair (chair,chairs,chair's,chairs') (Noun)
chamber (chamber,chambers,chambered,chambering) (Verb)
chamber (chamber) (Adjective)
chamber (chamber,chambers,chamber's,chambers') (Noun)
champion (champion,champions,championed,championing) (Verb)
champion (champion) (Adjective)
champion (champion,champions,champion's,champions') (Noun)
chance (chance,chances,chanced,chancing) (Verb)
chance (chance) (Adjective)
chance (chance,chances,chance's,chances') (Noun)
change (change,changes,changed,changing) (Verb)
change (change,changes,change's,changes') (Noun)
channel (channel,channels,channelled,channeled,channelling,channeling) (Verb)
channel (channel,channels,channel's,channels') (Noun)
chant (chant,chants,chanted,chanting) (Verb)
chant (chant,chants,chant's,chants') (Noun)
chap (chap,chaps,chapped,chapping) (Verb)
chap (chap,chaps,chap's,chaps') (Noun)
chapter (chapter,chapters,chapter's,chapters') (Noun)
character (character,characters,character's,characters') (Noun)
charge (charge,charges,charged,charging) (Verb)
charge (charge,charges,charge's,charges') (Noun)
Charles (Charles,Charleses,Charles's,Charleses') (Noun)
charm (charm,charms,charmed,charming) (Verb)
charm (charm,charms,charm's,charms') (Noun)
chase (chase,chases,chased,chasing) (Verb)
chase (chase,chases,chase's,chases') (Noun)
chatter (chatter,chatters,chattered,chattering) (Verb)
chatter (chatter,chatters,chatter's,chatters') (Noun)
cheap (cheap) (Adverb)
cheap (cheap,cheaper,cheapest) (Adjective)
check (check,checks,checked,checking) (Verb)
check (check,checks,check's,checks') (Noun)
cheek (cheek,cheeks,cheek's,cheeks') (Noun)
cheer (cheer,cheers,cheered,cheering) (Verb)
cheer (cheer,cheers,cheer's,cheers') (Noun)
cheerful (cheerful) (Adjective)
chest (chest,chests,chest's,chests') (Noun)
chew (chew,chews,chewed,chewing) (Verb)
chew (chew,chews,chew's,chews') (Noun)
chicken (chicken,chickens,chickened,chickening) (Verb)
chicken (chicken) (Adjective)
chicken (chicken,chickens,chicken's,chickens') (Noun)
chief (chief) (Adjective)
chief (chief,chiefs,chief's,chiefs') (Noun)
child (child,children,child's,children's) (Noun)
chill (chill,chills,chilled,chilling) (Verb)
chill (chill) (Adjective)
chill (chill,chills,chill's,chills') (Noun)
chimney (chimney,chimneys,chimney's,chimneys') (Noun)
chin (chin,chins,chinned,chinning) (Verb)
chin (chin,chins,chin's,chins') (Noun)
chocolate (chocolate) (Adjective)
chocolate (chocolate,chocolates,chocolate's,chocolates') (Noun)
choice (choice,choicer,choicest) (Adjective)
choice (choice,choices,choice's,choices') (Noun)
choke (choke,chokes,choked,choking) (Verb)
choke (choke,chokes,choke's,chokes') (Noun)
choose (choose,chooses,chose,chosen,choosing) (Verb)
Christmas (Christmas,Christmases,Christmas's,Christmases') (Noun)
chuckle (chuckle,chuckles,chuckled,chuckling) (Verb)
chuckle (chuckle,chuckles,chuckle's,chuckles') (Noun)
church (church,churches,churched,churching) (Verb)
church (church) (Adjective)
church (church,churches,church's,churches') (Noun)
churchyard (churchyard,churchyards,churchyard's,churchyards') (Noun)
cigar (cigar,cigars,cigar's,cigars') (Noun)
cigarette (cigarette,cigarettes,cigarette's,cigarettes') (Noun)
circle (circle,circles,circled,circling) (Verb)
circle (circle,circles,circle's,circles') (Noun)
circumstance (circumstance,circumstances,circumstance's,circumstances') (Noun)
citizen (citizen,citizens,citizen's,citizens') (Noun)
city (city,cities,city's,cities') (Noun)
clothe (clothe,clothes,clothed,clad,clothing) (Verb)
clad (clad,clads,cladding) (Verb)
clad (clad) (Adjective)
claim (claim,claims,claimed,claiming) (Verb)
claim (claim,claims,claim's,claims') (Noun)
clang (clang,clangs,clanged,clanging) (Verb)
clang (clang,clangs,clang's,clangs') (Noun)
clap (clap,claps,clapped,clapping) (Verb)
clap (clap,claps,clap's,claps') (Noun)
clasp (clasp,clasps,clasped,clasping) (Verb)
clasp (clasp,clasps,clasp's,clasps') (Noun)
class (class,classes,classed,classing) (Verb)
class (class,classes,class's,classes') (Noun)
classroom (classroom,classrooms,classroom's,classrooms') (Noun)
clatter (clatter,clatters,clattered,clattering) (Verb)
clatter (clatter,clatters,clatter's,clatters') (Noun)
claw (claw,claws,clawed,clawing) (Verb)
claw (claw,claws,claw's,claws') (Noun)
clean (clean,cleans,cleaned,cleaning) (Verb)
clean (clean) (Adverb)
clean (clean,cleaner,cleanest) (Adjective)
clear (clear,clears,cleared,clearing) (Verb)
clear (clear) (Adverb)
clear (clear,clearer,clearest) (Adjective)
clench (clench,clenches,clenched,clenching) (Verb)
clench (clench,clenches,clench's,clenches') (Noun)
clerk (clerk,clerks,clerked,clerking) (Verb)
clerk (clerk,clerks,clerk's,clerks') (Noun)
clever (clever,cleverer,cleverest) (Adjective)
click (click,clicks,clicked,clicking) (Verb)
click (click,clicks,click's,clicks') (Noun)
cliff (cliff,cliffs,cliff's,cliffs') (Noun)
climb (climb,climbs,climbed,climbing) (Verb)
climb (climb,climbs,climb's,climbs') (Noun)
cling (cling,clings,clung,clinging) (Verb)
cling (cling,clings,cling's,clings') (Noun)
cloak (cloak,cloaks,cloaked,cloaking) (Verb)
cloak (cloak,cloaks,cloak's,cloaks') (Noun)
clock (clock,clocks,clocked,clocking) (Verb)
clock (clock,clocks,clock's,clocks') (Noun)
close (close,closes,closed,closing) (Verb)
close (close,closer,closest) (Adverb)
close (close,closer,closest) (Adjective)
close (close,closes,close's,closes') (Noun)
cloth (cloth,cloths,cloth's,cloths') (Noun)
cloud (cloud,clouds,clouded,clouding) (Verb)
cloud (cloud,clouds,cloud's,clouds') (Noun)
club (club,clubs,clubbed,clubbing) (Verb)
club (club) (Adjective)
club (club,clubs,club's,clubs') (Noun)
clue (clue,clues,clued,cluing) (Verb)
clue (clue,clues,clue's,clues') (Noun)
clumsy (clumsy,clumsier,clumsiest) (Adjective)
cluster (cluster,clusters,clustered,clustering) (Verb)
cluster (cluster,clusters,cluster's,clusters') (Noun)
clutch (clutch,clutches,clutched,clutching) (Verb)
clutch (clutch,clutches,clutch's,clutches') (Noun)
coach (coach,coaches,coached,coaching) (Verb)
coach (coach,coaches,coach's,coaches') (Noun)
coal (coal,coals,coal's,coals') (Noun)
coast (coast,coasts,coasted,coasting) (Verb)
coast (coast,coasts,coast's,coasts') (Noun)
coat (coat,coats,coated,coating) (Verb)
coat (coat,coats,coat's,coats') (Noun)
cock (cock,cocks,cocked,cocking) (Verb)
cock (cock,cocks,cock's,cocks') (Noun)
code (code,codes,coded,coding) (Verb)
code (code,codes,code's,codes') (Noun)
coffee (coffee,coffees,coffee's,coffees') (Noun)
coffin (coffin,coffins,coffined,coffining) (Verb)
coffin (coffin,coffins,coffin's,coffins') (Noun)
coil (coil,coils,coiled,coiling) (Verb)
coil (coil,coils,coil's,coils') (Noun)
coin (coin,coins,coined,coining) (Verb)
coin (coin,coins,coin's,coins') (Noun)
cold (cold,colder,coldest) (Adjective)
cold (cold,colds,cold's,colds') (Noun)
collapse (collapse,collapses,collapsed,collapsing) (Verb)
collapse (collapse,collapses,collapse's,collapses') (Noun)
collar (collar,collars,collared,collaring) (Verb)
collar (collar,collars,collar's,collars') (Noun)
collect (collect,collects,collected,collecting) (Verb)
collect (collect) (Adverb)
collect (collect,collects,collect's,collects') (Noun)
college (college,colleges,college's,colleges') (Noun)
colon (colon,colons,colon's,colons') (Noun)
colonel (colonel,colonels,colonel's,colonels') (Noun)
color (color,colors,colored,coloring) (Verb)
color (color,colors,color's,colors') (Noun)
colour (colour,colours,coloured,colouring) (Verb)
colour (colour,colours,colour's,colours') (Noun)
column (column,columns,column's,columns') (Noun)
come (come,comes,came,coming) (Verb)
come (come) (Adjective)
comfort (comfort,comforts,comforted,comforting) (Verb)
comfort (comfort,comforts,comfort's,comforts') (Noun)
comfortable (comfortable) (Adjective)
command (command,commands,commanded,commanding) (Verb)
command (command) (Adjective)
command (command,commands,command's,commands') (Noun)
comment (comment,comments,commented,commenting) (Verb)
comment (comment,comments,comment's,comments') (Noun)
commit (commit,commits,committed,committing) (Verb)
common (common,commoner,commonest) (Adjective)
common (common,commons,common's,commons') (Noun)
communication (communication,communications,communication's,communications') (Noun)
companion (companion,companions,companioned,companioning) (Verb)
companion (companion,companions,companion's,companions') (Noun)
company (company,companies,company's,companies') (Noun)
compare (compare,compares,compared,comparing) (Verb)
complain (complain,complains,complained,complaining) (Verb)
complete (complete,completes,completed,completing) (Verb)
complete (complete,completer,completest) (Adjective)
complex (complex,complexes,complexed,complexing) (Verb)
complex (complex) (Adjective)
complex (complex,complexes,complex's,complexes') (Noun)
complicate (complicate,complicates,complicated,complicating) (Verb)
complicate (complicate) (Adjective)
compliment (compliment,compliments,complimented,complimenting) (Verb)
compliment (compliment,compliments,compliment's,compliments') (Noun)
computer (computer,computers,computer's,computers') (Noun)
comrade (comrade,comrades,comrade's,comrades') (Noun)
conceal (conceal,conceals,concealed,concealing) (Verb)
concentrate (concentrate,concentrates,concentrated,concentrating) (Verb)
concentrate (concentrate,concentrates,concentrate's,concentrates') (Noun)
concern (concern,concerns,concerned,concerning) (Verb)
concern (concern,concerns,concern's,concerns') (Noun)
conclude (conclude,concludes,concluded,concluding) (Verb)
conclusion (conclusion,conclusions,conclusion's,conclusions') (Noun)
condition (condition,conditions,conditioned,conditioning) (Verb)
condition (condition,conditions,condition's,conditions') (Noun)
conduct (conduct,conducts,conducted,conducting) (Verb)
conduct (conduct,conducts,conduct's,conducts') (Noun)
confess (confess,confesses,confessed,confessing) (Verb)
confidence (confidence) (Adjective)
confidence (confidence,confidences,confidence's,confidences') (Noun)
confirm (confirm,confirms,confirmed,confirming) (Verb)
confuse (confuse,confuses,confused,confusing) (Verb)
confusion (confusion,confusions,confusion's,confusions') (Noun)
connect (connect,connects,connected,connecting) (Verb)
connection (connection,connections,connection's,connections') (Noun)
conscious (conscious) (Adjective)
consciousness (consciousness,consciousness's) (Noun)
consent (consent,consents,consented,consenting) (Verb)
consent (consent,consents,consent's,consents') (Noun)
consequence (consequence,consequences,consequence's,consequences') (Noun)
consider (consider,considers,considered,considering) (Verb)
considerable (considerable) (Adjective)
consideration (consideration,considerations,consideration's,considerations') (Noun)
constant (constant) (Adjective)
constant (constant,constants,constant's,constants') (Noun)
consult (consult,consults,consulted,consulting) (Verb)
contact (contact,contacts,contacted,contacting) (Verb)
contact (contact) (Adjective)
contact (contact,contacts,contact's,contacts') (Noun)
contain (contain,contains,contained,containing) (Verb)
content (content,contents,contented,contenting) (Verb)
content (content) (Adjective)
content (content,contents,content's,contents') (Noun)
continue (continue,continues,continued,continuing) (Verb)
contrary (contrary) (Adverb)
contrary (contrary) (Adjective)
contrary (contrary,contraries,contrary's,contraries') (Noun)
control (control,controls,controlled,controlling) (Verb)
control (control,controls,control's,controls') (Noun)
conversation (conversation,conversations,conversation's,conversations') (Noun)
convey (convey,conveys,conveyed,conveying) (Verb)
convince (convince,convinces,convinced,convincing) (Verb)
cook (cook,cooks,cooked,cooking) (Verb)
cook (cook,cooks,cook's,cooks') (Noun)
cool (cool,cools,cooled,cooling) (Verb)
cool (cool,cooler,coolest) (Adjective)
cool (cool,cools,cool's,cools') (Noun)
cop (cop,cops,copped,copping) (Verb)
cop (cop,cops,cop's,cops') (Noun)
copy (copy,copies,copied,copying) (Verb)
copy (copy,copies,copy's,copies') (Noun)
corner (corner,corners,cornered,cornering) (Verb)
corner (corner) (Adjective)
corner (corner,corners,corner's,corners') (Noun)
Corp (Corp,Corp's) (Noun)
corpse (corpse,corpses,corpse's,corpses') (Noun)
correct (correct,corrects,corrected,correcting) (Verb)
correct (correct) (Adjective)
corridor (corridor,corridors,corridor's,corridors') (Noun)
cost (cost,costs,costing) (Verb)
cost (cost) (Adjective)
cost (cost,costs,cost's,costs') (Noun)
cottage (cottage,cottages,cottage's,cottages') (Noun)
cough (cough,coughs,coughed,coughing) (Verb)
cough (cough,coughs,cough's,coughs') (Noun)
council (council,councils,council's,councils') (Noun)
counsel (counsel,counsels,counselled,counseled,counselling,counseling) (Verb)
counsel (counsel,counsels,counsel's,counsels') (Noun)
counsel (counsel,counsel's) (Noun)
count (count,counts,counted,counting) (Verb)
count (count,counts,count's,counts') (Noun)
countenance (countenance,countenances,countenanced,countenancing) (Verb)
countenance (countenance,countenances,countenance's,countenances') (Noun)
counter (counter,counters,countered,countering) (Verb)
counter (counter) (Adverb)
counter (counter) (Adjective)
counter (counter,counters,counter's,counters') (Noun)
country (country) (Adjective)
country (country,countries,country's,countries') (Noun)
couple (couple,couples,coupled,coupling) (Verb)
couple (couple) (Adjective)
couple (couple,couples,couple's,couples') (Noun)
courage (courage,courage's) (Noun)
course (course,courses,coursed,coursing) (Verb)
course (course,courses,course's,courses') (Noun)
court (court,courts,courted,courting) (Verb)
court (court,courts,court's,courts') (Noun)
cousin (cousin,cousins,cousin's,cousins') (Noun)
cover (cover,covers,covered,covering) (Verb)
cover (cover,covers,cover's,covers') (Noun)
cow (cow,cows,cowed,cowing) (Verb)
cow (cow,cows,cow's,cows') (Noun)
crack (crack,cracks,cracked,cracking) (Verb)
crack (crack) (Adjective)
crack (crack,cracks,crack's,cracks') (Noun)
crackle (crackle,crackles,crackled,crackling) (Verb)
crackle (crackle,crackles,crackle's,crackles') (Noun)
craft (craft,crafts,crafted,crafting) (Verb)
craft (craft,crafts,craft's,crafts') (Noun)
crash (crash,crashes,crashed,crashing) (Verb)
crash (crash) (Adjective)
